Zipcode,Household Income,Income per Capita,Population,Median Contract Rent,Median Gross Rent,Median Home Value,Median Monthly Owner Costs,Median Age,Year,MA,MANAME
601,14361.0,7493.0,17113,292,383,83900.0,771.0,41.9,2019,,
602,16807.0,9694.0,37751,293,400,85300.0,877.0,42.9,2019,,
603,16049.0,11259.0,47081,328,433,118400.0,832.0,42.1,2019,,
606,12119.0,6093.0,6392,196,275,80800.0,526.0,44.3,2019,,
610,19898.0,10572.0,26686,338,427,87600.0,751.0,42.7,2019,,
612,18741.0,10966.0,59369,320,401,96700.0,753.0,42.6,2019,,
616,17007.0,9908.0,10022,285,370,93100.0,594.0,44.6,2019,,
617,16984.0,9795.0,23750,371,487,104500.0,760.0,40.7,2019,,
622,14615.0,11215.0,6741,244,344,118800.0,922.0,52.0,2019,,
623,17130.0,9691.0,41746,364,471,106600.0,749.0,42.6,2019,,
624,16701.0,9488.0,21936,312,431,76500.0,663.0,38.9,2019,,
627,17000.0,10709.0,31598,363,455,94400.0,746.0,42.2,2019,,
631,10244.0,7906.0,1499,120,214,87500.0,694.0,48.9,2019,,
637,17405.0,9864.0,22383,336,467,95800.0,725.0,42.2,2019,,
638,16843.0,9260.0,16412,280,378,89600.0,638.0,42.5,2019,,
641,15792.0,8833.0,26712,309,396,90200.0,748.0,43.9,2019,,
646,30573.0,16763.0,37095,531,653,135100.0,1234.0,41.0,2019,,
647,14223.0,7468.0,5809,379,713,85900.0,637.0,44.7,2019,,
650,19764.0,8998.0,14534,403,535,92400.0,665.0,39.5,2019,,
652,21987.0,11312.0,3565,432,620,93400.0,663.0,43.1,2019,,
653,12072.0,7196.0,10484,269,338,89800.0,686.0,41.9,2019,,
656,17355.0,9115.0,18485,259,349,79800.0,698.0,41.3,2019,,
659,17715.0,11144.0,39950,327,456,93000.0,818.0,42.1,2019,,
660,19030.0,12479.0,15943,346,424,98700.0,732.0,47.2,2019,,
662,16834.0,9014.0,39700,347,453,103800.0,759.0,41.7,2019,,
664,14595.0,7270.0,14693,287,376,94100.0,744.0,38.6,2019,,
667,14013.0,7467.0,23186,318,452,87200.0,686.0,45.8,2019,,
669,16922.0,9196.0,24803,324,439,85800.0,670.0,42.9,2019,,
