Household Income_2014,Population_2014,Median Contract Rent_2014,Median Gross Rent_2014,Median Home Value_2014,Median Monthly Owner Costs_2014,state,Zipcode,Household Income_2019,Population_2019,Median Contract Rent_2019,Median Gross Rent_2019,Median Home Value_2019,Median Monthly Owner Costs_2019
17592.0,30772,376.0,457.0,100100.0,742.0,72,00719,18922.0,28556.0,377.0,477.0,88200.0,693.0
14578.0,22862,236.0,348.0,105700.0,686.0,72,00720,15295.0,20758.0,286.0,394.0,85500.0,731.0
14343.0,18766,229.0,357.0,93700.0,663.0,72,00723,16063.0,16984.0,224.0,309.0,90300.0,663.0
20704.0,88152,364.0,464.0,134500.0,956.0,72,00725,21350.0,80537.0,417.0,497.0,121200.0,896.0
29304.0,57036,514.0,657.0,148700.0,1049.0,72,00727,31688.0,52743.0,563.0,738.0,137700.0,959.0
17689.0,42333,347.0,472.0,107600.0,773.0,72,00728,19340.0,39083.0,316.0,410.0,98500.0,720.0
21243.0,54198,379.0,483.0,120800.0,886.0,72,00729,21469.0,51015.0,464.0,539.0,108100.0,866.0
15459.0,36201,279.0,420.0,97200.0,827.0,72,00730,15723.0,30175.0,286.0,391.0,92400.0,773.0
15894.0,14320,271.0,366.0,102300.0,742.0,72,00731,15473.0,12657.0,315.0,419.0,77300.0,840.0
20450.0,13203,362.0,478.0,97800.0,735.0,72,00735,18395.0,12159.0,365.0,484.0,91600.0,667.0
21023.0,51116,362.0,458.0,115900.0,880.0,72,00736,21894.0,46085.0,375.0,483.0,116700.0,860.0
20917.0,33835,376.0,479.0,108000.0,777.0,72,00738,19859.0,29196.0,405.0,520.0,103500.0,760.0
23629.0,38424,403.0,499.0,118300.0,940.0,72,00739,20065.0,36734.0,398.0,495.0,117200.0,883.0
13077.0,1704,110.0,174.0,86600.0,683.0,72,00740,12944.0,1915.0,327.0,425.0,67600.0,640.0
19237.0,5365,402.0,597.0,92100.0,678.0,72,00741,22121.0,4074.0,502.0,614.0,85800.0,672.0
22694.0,54253,370.0,531.0,118000.0,881.0,72,00745,22960.0,50435.0,413.0,527.0,114600.0,892.0
14236.0,23020,276.0,393.0,86100.0,766.0,72,00751,18087.0,20677.0,311.0,413.0,84400.0,716.0
17192.0,40022,373.0,482.0,125700.0,833.0,72,00754,19403.0,36893.0,386.0,498.0,109800.0,905.0
16344.0,23114,276.0,415.0,89900.0,789.0,72,00757,19827.0,21757.0,359.0,488.0,93500.0,769.0
18297.0,9139,401.0,576.0,113600.0,692.0,72,00765,14880.0,8523.0,479.0,639.0,103800.0,1524.0
17210.0,25549,213.0,296.0,97100.0,740.0,72,00766,19682.0,22687.0,292.0,399.0,92100.0,778.0
16664.0,36962,283.0,410.0,94800.0,692.0,72,00767,16295.0,33499.0,338.0,454.0,87200.0,642.0
18053.0,39871,313.0,420.0,92100.0,709.0,72,00769,19700.0,38812.0,370.0,493.0,90900.0,724.0
19869.0,38435,368.0,468.0,114800.0,852.0,72,00771,21175.0,36906.0,397.0,560.0,114000.0,869.0
