Household Income_2014,Population_2014,Median Contract Rent_2014,Median Gross Rent_2014,Median Home Value_2014,Median Monthly Owner Costs_2014,state,Zipcode,Household Income_2019,Population_2019,Median Contract Rent_2019,Median Gross Rent_2019,Median Home Value_2019,Median Monthly Owner Costs_2019,MA,MANAME,2009 H%,2010 H%,2011 H%,2012 H%,2013 H%,2014 H%,2015 H%,2016 H%,2017 H%,2018 H%,2019 H%,2020 H%,Average H%_2014,Average H%_2019,Weighted Cost_2014,Weighted Cost_2019,Affordability_2014,Affordability_2019
59248.0,40978.0,781.0,902.0,231900.0,1814.0,25,1453,61887.0,41647.0,866.0,973.0,242000.0,1868.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1490.0575999999999,1544.905,0.30179400486092356,0.2995598429395511
111652.0,9157.0,1057.0,1294.0,390300.0,2448.0,25,1460,123413.0,10071.0,1198.0,1292.0,459000.0,2597.0,14460.0,Boston-Cambridge-Newton MA-NH,59.3,58.9,58.8,61.0,60.9,61.2,65.5,66.0,65.5,66.0,66.3,62.8,60.160000000000004,65.86,1988.2464,2151.4730000000004,0.21369036649589795,0.2091973779099447
71055.0,10797.0,907.0,1065.0,275300.0,2034.0,25,1462,103228.0,11402.0,1319.0,1580.0,308800.0,2047.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1689.8111999999999,1878.413,0.28538082330588976,0.21836087108148952
77767.0,11782.0,1011.0,1153.0,312200.0,2055.0,25,1463,104130.0,12105.0,909.0,1113.0,343400.0,2235.0,14460.0,Boston-Cambridge-Newton MA-NH,59.3,58.9,58.8,61.0,60.9,61.2,65.5,66.0,65.5,66.0,66.3,62.8,60.160000000000004,65.86,1695.6432,1851.9492,0.2616497794694408,0.21341967156439065
66453.0,7404.0,1003.0,1127.0,268900.0,2069.0,25,1464,76875.0,7633.0,682.0,810.0,314200.0,2244.0,14460.0,Boston-Cambridge-Newton MA-NH,59.3,58.9,58.8,61.0,60.9,61.2,65.5,66.0,65.5,66.0,66.3,62.8,60.160000000000004,65.86,1693.7072,1754.4324000000001,0.3058475373572299,0.2738626185365854
70455.0,3682.0,497.0,497.0,218200.0,1627.0,25,1468,73246.0,4062.0,924.0,1160.0,203800.0,1552.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1225.6239999999998,1410.488,0.20875009580583348,0.23108232531469294
81024.0,7328.0,701.0,896.0,259600.0,1944.0,25,1469,91964.0,7670.0,853.0,945.0,287400.0,2092.0,14460.0,Boston-Cambridge-Newton MA-NH,59.3,58.9,58.8,61.0,60.9,61.2,65.5,66.0,65.5,66.0,66.3,62.8,60.160000000000004,65.86,1526.4768000000001,1700.4142,0.22607772511848345,0.22187997912226526
87273.0,7361.0,884.0,1002.0,265600.0,1861.0,25,1473,100972.0,7766.0,925.0,1104.0,287300.0,1893.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1555.8831999999998,1608.1709999999998,0.21393327145852664,0.19112280632254483
95587.0,1855.0,1431.0,1431.0,266800.0,2068.0,25,1474,90302.0,1803.0,1031.0,1250.0,309500.0,1981.0,14460.0,Boston-Cambridge-Newton MA-NH,59.3,58.9,58.8,61.0,60.9,61.2,65.5,66.0,65.5,66.0,66.3,62.8,60.160000000000004,65.86,1814.2192,1731.4366,0.22775723058574912,0.23008614648623507
59332.0,10466.0,664.0,747.0,202100.0,1533.0,25,1475,80267.0,10825.0,667.0,732.0,206100.0,1609.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1253.8128,1292.4029999999998,0.2535858154115823,0.193215592958501
