Household Income_2014,Population_2014,Median Contract Rent_2014,Median Gross Rent_2014,Median Home Value_2014,Median Monthly Owner Costs_2014,state,Zipcode,Household Income_2019,Population_2019,Median Contract Rent_2019,Median Gross Rent_2019,Median Home Value_2019,Median Monthly Owner Costs_2019,MA,MANAME
73883.0,5010.0,962.0,977.0,334700.0,2111.0,09,6423,103356.0,5374.0,921.0,944.0,299800,1905.0,25540.0,Hartford-West Hartford-East Hartford CT
95533.0,12782.0,940.0,1022.0,267800.0,2070.0,09,6424,95900.0,12744.0,1047.0,1303.0,265000,2063.0,25540.0,Hartford-West Hartford-East Hartford CT
100515.0,3075.0,964.0,1132.0,476000.0,2489.0,09,6426,106250.0,3401.0,1113.0,1511.0,486000,2614.0,25540.0,Hartford-West Hartford-East Hartford CT
99441.0,22405.0,1178.0,1345.0,383600.0,2511.0,09,6437,111870.0,22216.0,1235.0,1474.0,399600,2502.0,35300.0,New Haven-Milford CT
99046.0,2731.0,803.0,803.0,331400.0,2000.0,09,6438,126801.0,2906.0,686.0,828.0,328200,2343.0,25540.0,Hartford-West Hartford-East Hartford CT
99063.0,5427.0,847.0,963.0,328800.0,2401.0,09,6441,108508.0,5011.0,1018.0,1268.0,313300,2325.0,25540.0,Hartford-West Hartford-East Hartford CT
89013.0,3070.0,873.0,1069.0,354900.0,2052.0,09,6442,88466.0,2343.0,992.0,1186.0,337700,2071.0,25540.0,Hartford-West Hartford-East Hartford CT
108231.0,18284.0,1051.0,1153.0,459200.0,2739.0,09,6443,113798.0,18113.0,1385.0,1478.0,428600,2682.0,35300.0,New Haven-Milford CT
112714.0,6428.0,876.0,1201.0,299300.0,2252.0,09,6447,112557.0,6368.0,843.0,1072.0,316900,2216.0,25540.0,Hartford-West Hartford-East Hartford CT
55699.0,36973.0,825.0,964.0,187300.0,1677.0,09,6450,60671.0,35215.0,895.0,1048.0,169800,1541.0,35300.0,New Haven-Milford CT
50565.0,23754.0,795.0,942.0,180100.0,1709.0,09,6451,57261.0,24522.0,892.0,997.0,176300,1593.0,35300.0,New Haven-Milford CT
61373.0,47424.0,894.0,1027.0,231700.0,1886.0,09,6457,65572.0,46511.0,1001.0,1133.0,231300,1945.0,25540.0,Hartford-West Hartford-East Hartford CT
79746.0,38145.0,1193.0,1416.0,297300.0,2221.0,09,6460,88085.0,38959.0,1435.0,1583.0,304500,2213.0,35300.0,New Haven-Milford CT
83506.0,14894.0,1133.0,1313.0,323200.0,2227.0,09,6461,103047.0,15369.0,1333.0,1481.0,330700,2244.0,35300.0,New Haven-Milford CT
108688.0,19744.0,1638.0,2001.0,390700.0,2798.0,09,6468,118669.0,19546.0,1292.0,1364.0,370200,2796.0,14860.0,Bridgeport-Stamford-Norwalk CT
91444.0,3417.0,956.0,1298.0,254000.0,2092.0,09,6469,90735.0,2802.0,858.0,1035.0,277200,2023.0,25540.0,Hartford-West Hartford-East Hartford CT
111798.0,16672.0,1250.0,1332.0,430900.0,2978.0,09,6470,124909.0,16571.0,1143.0,1318.0,409100,2879.0,14860.0,Bridgeport-Stamford-Norwalk CT
85870.0,7980.0,975.0,1124.0,280800.0,2059.0,09,6471,82993.0,7600.0,1180.0,1362.0,276700,1921.0,35300.0,New Haven-Milford CT
94831.0,6602.0,1146.0,1427.0,312800.0,2203.0,09,6472,101429.0,6900.0,1292.0,1454.0,306200,2311.0,35300.0,New Haven-Milford CT
84131.0,24225.0,1005.0,1215.0,299600.0,2300.0,09,6473,97796.0,24108.0,1170.0,1325.0,297900,2270.0,35300.0,New Haven-Milford CT
74896.0,10222.0,1338.0,1699.0,384200.0,2241.0,09,6475,83132.0,10090.0,1359.0,1519.0,382700,2263.0,25540.0,Hartford-West Hartford-East Hartford CT
105190.0,13947.0,1571.0,1716.0,387800.0,2687.0,09,6477,121308.0,13934.0,1567.0,1648.0,389900,2762.0,35300.0,New Haven-Milford CT
81514.0,10464.0,916.0,1027.0,260000.0,1896.0,09,6479,90091.0,9572.0,959.0,1134.0,266700,2053.0,25540.0,Hartford-West Hartford-East Hartford CT
82770.0,9483.0,789.0,1013.0,269000.0,2030.0,09,6480,99292.0,9322.0,979.0,1115.0,252600,1994.0,25540.0,Hartford-West Hartford-East Hartford CT
82174.0,1080.0,583.0,850.0,302100.0,2452.0,09,6481,78208.0,1304.0,894.0,1056.0,275600,2091.0,25540.0,Hartford-West Hartford-East Hartford CT
105873.0,11288.0,1026.0,1410.0,399500.0,2787.0,09,6482,137100.0,11251.0,1701.0,1756.0,385300,2752.0,14860.0,Bridgeport-Stamford-Norwalk CT
77465.0,16551.0,840.0,949.0,266700.0,2114.0,09,6483,76195.0,16508.0,976.0,1152.0,253300,2206.0,35300.0,New Haven-Milford CT
88369.0,40472.0,942.0,1147.0,348200.0,2320.0,09,6484,97131.0,41141.0,1244.0,1466.0,349300,2191.0,14860.0,Bridgeport-Stamford-Norwalk CT
76896.0,19876.0,1180.0,1357.0,314000.0,2305.0,09,6488,98790.0,19681.0,1379.0,1587.0,325000,2353.0,35300.0,New Haven-Milford CT
80980.0,32644.0,881.0,1061.0,265800.0,1985.0,09,6489,95684.0,33522.0,963.0,1108.0,282200,2152.0,25540.0,Hartford-West Hartford-East Hartford CT
