Zipcode,Household Income,Income per Capita,Population,Median Contract Rent,Median Gross Rent,Median Home Value,Median Monthly Owner Costs,Median Age,Year,MA,MANAME
92886,119528,48999,50543,1785,1893,748700,2970,43,2017,31080,Los Angeles-Long Beach-Anaheim CA
92887,133542,54699,20143,1803,2014,842500,3359,43.2,2017,31080,Los Angeles-Long Beach-Anaheim CA
93001,62407,31835,33354,1261,1358,491600,2143,36.2,2017,37100,Oxnard-Thousand Oaks-Ventura CA
93003,74012,35349,51956,1520,1604,496100,2276,39.6,2017,37100,Oxnard-Thousand Oaks-Ventura CA
93004,80726,34335,30494,1587,1648,478100,2282,39.7,2017,37100,Oxnard-Thousand Oaks-Ventura CA
93010,90260,41660,44122,1612,1735,568500,2537,39.9,2017,37100,Oxnard-Thousand Oaks-Ventura CA
93012,102756,47836,36234,1866,2022,580400,2633,42.8,2017,37100,Oxnard-Thousand Oaks-Ventura CA
93013,72791,42639,16735,1711,1763,690500,2808,43.9,2017,42200,Santa Maria-Santa Barbara CA
93015,62819,22660,17713,1150,1242,361200,2138,35.2,2017,37100,Oxnard-Thousand Oaks-Ventura CA
93021,101627,41214,37989,1737,1831,596000,2681,38.1,2017,37100,Oxnard-Thousand Oaks-Ventura CA
93022,73015,34391,7147,1347,1445,483700,2065,41.5,2017,37100,Oxnard-Thousand Oaks-Ventura CA
93023,71661,44137,20272,1388,1552,623900,2434,49.1,2017,37100,Oxnard-Thousand Oaks-Ventura CA
93030,64552,22144,60191,1229,1337,413800,2097,32.1,2017,37100,Oxnard-Thousand Oaks-Ventura CA
93033,57829,16837,83572,1303,1389,337300,1820,29.3,2017,37100,Oxnard-Thousand Oaks-Ventura CA
93035,85363,36569,28795,1784,1887,485100,2398,41,2017,37100,Oxnard-Thousand Oaks-Ventura CA
93036,65374,23660,47234,1389,1465,415100,2226,30.8,2017,37100,Oxnard-Thousand Oaks-Ventura CA
93040,48750,19249,1832,975,1094,308700,1413,34.9,2017,37100,Oxnard-Thousand Oaks-Ventura CA
93041,62032,23995,24487,1568,1650,355700,1980,30.4,2017,37100,Oxnard-Thousand Oaks-Ventura CA
93060,56478,21918,34226,1082,1163,357200,1909,33,2017,37100,Oxnard-Thousand Oaks-Ventura CA
93063,86667,36783,56457,1598,1743,491500,2416,41.1,2017,37100,Oxnard-Thousand Oaks-Ventura CA
93065,97485,41609,72763,1799,1914,529500,2615,40.2,2017,37100,Oxnard-Thousand Oaks-Ventura CA
93066,92417,44005,3208,1257,1392,833300,2604,46.6,2017,37100,Oxnard-Thousand Oaks-Ventura CA
93067,64904,65649,579,1170,1170,759900,3250,57.5,2017,42200,Santa Maria-Santa Barbara CA
93101,54360,31320,32101,1395,1442,785100,2563,32.5,2017,42200,Santa Maria-Santa Barbara CA
93103,83342,43093,20698,1795,1854,958300,3041,36.2,2017,42200,Santa Maria-Santa Barbara CA
93105,88671,50498,26177,1723,1809,969100,3179,46.8,2017,42200,Santa Maria-Santa Barbara CA
93108,134667,95919,11178,2311,2400,2000001,4001,50.9,2017,42200,Santa Maria-Santa Barbara CA
93109,97759,53401,12066,2009,2124,1031800,3141,43.8,2017,42200,Santa Maria-Santa Barbara CA
93110,81375,47044,16838,1684,1740,801400,2892,44.4,2017,42200,Santa Maria-Santa Barbara CA
93111,107577,48590,18334,2037,2068,842200,2908,42.7,2017,42200,Santa Maria-Santa Barbara CA
93117,61892,25127,57913,1535,1615,734200,2704,22.1,2017,42200,Santa Maria-Santa Barbara CA
93201,30000,10094,1315,565,740,89200,1067,28.7,2017,47300,Visalia-Porterville CA
93202,47753,16429,3684,694,932,123100,1079,29.7,2017,25260,Hanford-Corcoran CA
93203,37191,11568,22471,714,824,133300,1116,24.6,2017,12540,Bakersfield CA
93204,34638,8230,13119,580,744,129900,795,31.2,2017,25260,Hanford-Corcoran CA
93205,23684,17722,1593,610,801,93800,981,50,2017,12540,Bakersfield CA
93206,36224,14280,2044,663,807,150800,987,25.6,2017,12540,Bakersfield CA
93210,53976,19743,18163,689,840,161200,1400,32.5,2017,23420,Fresno CA
