Household Income_2014,Population_2014,Median Contract Rent_2014,Median Gross Rent_2014,Median Home Value_2014,Median Monthly Owner Costs_2014,state,Zipcode,Household Income_2019,Population_2019,Median Contract Rent_2019,Median Gross Rent_2019,Median Home Value_2019,Median Monthly Owner Costs_2019,MA,MANAME,2009 H%,2010 H%,2011 H%,2012 H%,2013 H%,2014 H%,2015 H%,2016 H%,2017 H%,2018 H%,2019 H%,2020 H%,Average H%_2014,Average H%_2019,Weighted Cost_2014,Weighted Cost_2019,Affordability_2014,Affordability_2019,Population Growth,Population Growth %,Change in Income,Change in Income %,Change in Weighted Cost,Change in Weighted Cost %,Change in Affordability,Change in Affordability %
68342.0,10829.0,838.0,953.0,322200.0,1765.0,37,27523,103250.0,12441.0,1146.0,1309.0,368100.0,2053.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,1489.2448000000002,1802.272,0.26149275116326715,0.20946502663438255,1612.0,0.148859543817527,34908.0,0.5107839981270668,313.02719999999977,0.21019190397710286,-0.0520277245288846,-0.19896430894331088
38187.0,11978.0,458.0,656.0,118700.0,1143.0,37,27524,49337.0,13675.0,549.0,841.0,140900.0,1170.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,977.6148,1059.1270000000002,0.3072086731086495,0.25760634006931926,1697.0,0.14167640674570045,11150.0,0.2919841830989604,81.51220000000023,0.08337864770459719,-0.04960233303933026,-0.16146136935980177
42334.0,13166.0,379.0,567.0,128400.0,1208.0,37,27525,49406.0,14819.0,533.0,814.0,148300.0,1227.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,990.3163999999999,1087.819,0.2807151887371852,0.26421543942031334,1653.0,0.12555066079295155,7072.0,0.16705248736240375,97.50260000000003,0.0984560086049267,-0.01649974931687187,-0.05877754385538247
66025.0,42278.0,730.0,962.0,196400.0,1459.0,37,27526,79593.0,48581.0,909.0,1077.0,246600.0,1536.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,1290.2188,1381.317,0.23449641196516474,0.2082570577814632,6303.0,0.14908463030417712,13568.0,0.20549791745550927,91.0981999999999,0.07060678390362929,-0.026239354183701546,-0.11189661267652784
76388.0,19298.0,861.0,1109.0,207700.0,1543.0,37,27527,90625.0,25337.0,877.0,1179.0,232500.0,1554.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,1395.6136000000001,1427.625,0.21924076032884748,0.18903724137931033,6039.0,0.3129339827961447,14237.0,0.18637744148295543,32.01139999999987,0.022937151085371955,-0.030203518949537156,-0.13776415892844815
59613.0,43809.0,744.0,902.0,163000.0,1292.0,37,27529,64929.0,50683.0,896.0,1090.0,196600.0,1344.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,1159.556,1258.402,0.233416737959841,0.2325744120500855,6874.0,0.1569083978178,5316.0,0.08917517991042222,98.846,0.08524469710820348,-0.000842325909755498,-0.0036086782683957264
40054.0,25888.0,444.0,695.0,96100.0,1040.0,37,27537,45367.0,23736.0,524.0,709.0,106100.0,1107.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,922.838,972.874,0.27647815449143653,0.25733436198117576,-2152.0,-0.08312731767614338,5313.0,0.1326459279972038,50.03600000000006,0.05421970053248789,-0.01914379251026077,-0.06924160986778331
82614.0,20683.0,833.0,941.0,242700.0,1750.0,37,27539,109664.0,23970.0,1150.0,1293.0,331200.0,1913.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,1475.2636,1704.06,0.21428768973781684,0.18646702655383718,3287.0,0.15892278682976357,27050.0,0.3274263442031617,228.79639999999995,0.1550884872371283,-0.02782066318397966,-0.12982856466472023
88638.0,31732.0,1016.0,1143.0,236000.0,1583.0,37,27540,109404.0,39675.0,1287.0,1423.0,310300.0,1804.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,1433.576,1675.603,0.19408055235903338,0.18378885598332786,7943.0,0.25031513929156685,20766.0,0.23427875177689028,242.02700000000004,0.16882746362941348,-0.010291696375705511,-0.05302796313494977
39672.0,8891.0,432.0,621.0,112100.0,1145.0,37,27542,49370.0,9288.0,500.0,750.0,110500.0,1102.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,967.0495999999999,983.376,0.2925134906231095,0.23902191614340695,397.0,0.04465189517489596,9698.0,0.2444545271224037,16.326400000000035,0.01688269143588916,-0.05349157447970254,-0.18286874347489168
